,category,definition,name,note,provenance,provenance_uri,resource_uri,term,vocabulary_id,vocabulary_status
732,,Tidal stage,Tide stage,,Originally from the CUAHSI HIS VariableNameCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=VariableNameCV.,,/api/v1/variablename/tideStage/,tideStage,1027,Current
733,,The time at which a sensor produces output,Time Stamp,,Originally from the CUAHSI HIS VariableNameCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=VariableNameCV.,,/api/v1/variablename/timeStamp/,timeStamp,1029,Current
734,,Time elapsed since an event occurred,"Time, elapsed",,Originally from the CUAHSI HIS VariableNameCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=VariableNameCV.,,/api/v1/variablename/timeElapsed/,timeElapsed,1028,Current
735,,"Dissolved tin (Sn). ""Dissolved "" indicates a the measurement was made on a filtered sample.","Tin, dissolved",,Originally from the CUAHSI HIS VariableNameCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=VariableNameCV.,,/api/v1/variablename/tinDissolved/,tinDissolved,1030,Current
736,,"Total tin (Sn).""Total"" indicates was measured on a whole water (unfiltered) sample.","Tin, total",,Originally from the CUAHSI HIS VariableNameCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=VariableNameCV.,,/api/v1/variablename/tinTotal/,tinTotal,1031,Current
737,,Titanium (Ti),Titanium,,Originally from the CUAHSI HIS VariableNameCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=VariableNameCV.,,/api/v1/variablename/titanium/,titanium,1032,Current
738,,Dissolved Titanium,"Titanium, dissolved",,Originally from the CUAHSI HIS VariableNameCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=VariableNameCV.,,/api/v1/variablename/titaniumDissolved/,titaniumDissolved,1033,Current
739,,Toluene (C6H5CH3),Toluene,,Originally from the CUAHSI HIS VariableNameCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=VariableNameCV.,,/api/v1/variablename/toluene/,toluene,1034,Current
740,,"trans-1,2-Dichloroethene (C2H2Cl2)","trans-1,2-Dichloroethene",,Originally from the CUAHSI HIS VariableNameCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=VariableNameCV.,,/api/v1/variablename/trans_1_2_Dichloroethene/,trans_1_2_Dichloroethene,1037,Current
741,,"trans-1,3-Dichloropropene (C3H4Cl2)","trans-1,3-Dichloropropene",,Originally from the CUAHSI HIS VariableNameCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=VariableNameCV.,,/api/v1/variablename/trans_1_3_Dichloropropene/,trans_1_3_Dichloropropene,1038,Current
742,,Areal coverage of transient species,Transient species coverage,,Originally from the CUAHSI HIS VariableNameCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=VariableNameCV.,,/api/v1/variablename/transientSpeciesCoverage/,transientSpeciesCoverage,1035,Current
743,,Transpiration,Transpiration,,Originally from the CUAHSI HIS VariableNameCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=VariableNameCV.,,/api/v1/variablename/transpiration/,transpiration,1036,Current
744,,Tributoxyethyl phosphate (C42H87O13P),Tributoxyethyl phosphate,,Originally from the CUAHSI HIS VariableNameCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=VariableNameCV.,,/api/v1/variablename/tributoxyethylPhosphate/,tributoxyethylPhosphate,1039,Current
745,,Trichloroethene (C2HCl3),Trichloroethene,,Originally from the CUAHSI HIS VariableNameCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=VariableNameCV.,,/api/v1/variablename/trichloroethene/,trichloroethene,1040,Current
746,,Triethylene glycol (C6H14O4),Triethylene glycol,,Originally from the CUAHSI HIS VariableNameCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=VariableNameCV.,,/api/v1/variablename/triethyleneGlycol/,triethyleneGlycol,1041,Current
