,category,definition,name,note,provenance,provenance_uri,resource_uri,term,vocabulary_id,vocabulary_status
99,,Expressed as chromium,Cr,,Adapted from the CUAHSI HIS SpeciationCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=SpeciationCV.,,/api/v1/speciation/Cr/,Cr,136,Current
100,,Expressed as copper,Cu,,Adapted from the CUAHSI HIS SpeciationCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=SpeciationCV.,,/api/v1/speciation/Cu/,Cu,137,Current
101,,Expressed as deuterium,delta 2H,,Adapted from the CUAHSI HIS SpeciationCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=SpeciationCV.,,/api/v1/speciation/delta2H/,delta2H,138,Current
102,,Expressed as nitrogen-15,delta N15,,Adapted from the CUAHSI HIS SpeciationCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=SpeciationCV.,,/api/v1/speciation/deltaN15/,deltaN15,139,Current
103,,Expressed as oxygen-18,delta O18,,Adapted from the CUAHSI HIS SpeciationCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=SpeciationCV.,,/api/v1/speciation/deltaO18/,deltaO18,140,Current
104,,Expressed as electrical conductivity,EC,,Adapted from the CUAHSI HIS SpeciationCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=SpeciationCV.,,/api/v1/speciation/EC/,EC,141,Current
105,,Expressed as fluorine,F,,Adapted from the CUAHSI HIS SpeciationCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=SpeciationCV.,,/api/v1/speciation/F/,F,142,Current
106,,Expressed as iron,Fe,,Adapted from the CUAHSI HIS SpeciationCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=SpeciationCV.,,/api/v1/speciation/Fe/,Fe,143,Current
107,,Expressed as water,H2O,,Adapted from the CUAHSI HIS SpeciationCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=SpeciationCV.,,/api/v1/speciation/H2O/,H2O,144,Current
108,,Expressed as hydrogen carbonate,HCO3,,Adapted from the CUAHSI HIS SpeciationCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=SpeciationCV.,,/api/v1/speciation/HCO3/,HCO3,145,Current
109,,Expressed as mercury,Hg,,Adapted from the CUAHSI HIS SpeciationCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=SpeciationCV.,,/api/v1/speciation/Hg/,Hg,146,Current
110,,Expressed as potassium,K,,Adapted from the CUAHSI HIS SpeciationCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=SpeciationCV.,,/api/v1/speciation/K/,K,147,Current
111,,Expressed as magnesium,Mg,,Adapted from the CUAHSI HIS SpeciationCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=SpeciationCV.,,/api/v1/speciation/Mg/,Mg,148,Current
112,,Expressed as manganese,Mn,,Adapted from the CUAHSI HIS SpeciationCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=SpeciationCV.,,/api/v1/speciation/Mn/,Mn,149,Current
113,,Expressed as molybdenum,Mo,,Adapted from the CUAHSI HIS SpeciationCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=SpeciationCV.,,/api/v1/speciation/Mo/,Mo,150,Current
114,,Expressed as nitrogen,N,,Adapted from the CUAHSI HIS SpeciationCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=SpeciationCV.,,/api/v1/speciation/N/,N,151,Current
115,,Expressed as sodium,Na,,Adapted from the CUAHSI HIS SpeciationCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=SpeciationCV.,,/api/v1/speciation/Na/,Na,152,Current
116,,Expressed as ammonium,NH4,,Adapted from the CUAHSI HIS SpeciationCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=SpeciationCV.,,/api/v1/speciation/NH4/,NH4,153,Current
117,,Expressed as nickel,Ni,,Adapted from the CUAHSI HIS SpeciationCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=SpeciationCV.,,/api/v1/speciation/Ni/,Ni,154,Current
118,,Expressed as nitrite,NO2,,Adapted from the CUAHSI HIS SpeciationCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=SpeciationCV.,,/api/v1/speciation/NO2/,NO2,155,Current
119,,Expressed as nitrate,NO3,,Adapted from the CUAHSI HIS SpeciationCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=SpeciationCV.,,/api/v1/speciation/NO3/,NO3,156,Current
120,,Speciation is not applicable,Not Applicable,,Adapted from the CUAHSI HIS SpeciationCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=SpeciationCV.,,/api/v1/speciation/notApplicable/,notApplicable,157,Current
121,,Expressed as oxygen (O2),O2,,Adapted from the CUAHSI HIS SpeciationCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=SpeciationCV.,,/api/v1/speciation/O2/,O2,158,Current
122,,Expressed as phosphorus,P,,Adapted from the CUAHSI HIS SpeciationCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=SpeciationCV.,,/api/v1/speciation/P/,P,159,Current
123,,Expressed as lead,Pb,,Adapted from the CUAHSI HIS SpeciationCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=SpeciationCV.,,/api/v1/speciation/Pb/,Pb,160,Current
124,,Expressed as pH,pH,,Adapted from the CUAHSI HIS SpeciationCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=SpeciationCV.,,/api/v1/speciation/pH/,pH,161,Current
125,,Expressed as phosphate,PO4,,Adapted from the CUAHSI HIS SpeciationCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=SpeciationCV.,,/api/v1/speciation/PO4/,PO4,162,Current
126,,"Expressed as Radium. Also known as ""radium equivalent."" The radium equivalent concept allows a single index or number to describe the gamma output from different mixtures of uranium (i.e., radium), thorium, and 40K in a material.",Ra,,Adapted from the CUAHSI HIS SpeciationCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=SpeciationCV.,,/api/v1/speciation/Ra/,Ra,163,Current
127,,Expressed as rhenium,Re,,Adapted from the CUAHSI HIS SpeciationCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=SpeciationCV.,,/api/v1/speciation/Re/,Re,164,Current
128,,Expressed as Sulfur,S,,Adapted from the CUAHSI HIS SpeciationCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=SpeciationCV.,,/api/v1/speciation/S/,S,165,Current
129,,Expressed as antimony,Sb,,Adapted from the CUAHSI HIS SpeciationCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=SpeciationCV.,,/api/v1/speciation/Sb/,Sb,166,Current
130,,Expressed as selenium,Se,,Adapted from the CUAHSI HIS SpeciationCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=SpeciationCV.,,/api/v1/speciation/Se/,Se,167,Current
131,,Expressed as silicon,Si,,Adapted from the CUAHSI HIS SpeciationCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=SpeciationCV.,,/api/v1/speciation/Si/,Si,168,Current
